Community,Category,Event Count,Year,Month
01B,Disorder,1,2018,2
01B,Disorder,2,2018,6
01B,Disorder,1,2018,8
01B,Disorder,1,2018,10
01B,Disorder,2,2018,11
01B,Disorder,2,2018,12
01B,Disorder,2,2019,3
01B,Disorder,2,2019,5
01B,Disorder,1,2019,6
01B,Disorder,1,2019,8
01B,Disorder,1,2019,9
01B,Disorder,2,2020,4
01B,Disorder,2,2020,7
01B,Disorder,1,2020,8
01B,Disorder,1,2020,9
01B,Disorder,1,2020,10
01B,Disorder,1,2020,12
01B,Disorder,1,2021,5
01B,Disorder,1,2021,6
01B,Disorder,1,2021,7
01B,Disorder,1,2021,8
01B,Disorder,2,2021,9
01B,Disorder,1,2021,12
01B,Disorder,1,2022,1
01B,Disorder,2,2022,4
01B,Disorder,1,2022,6
01B,Disorder,1,2022,7
01B,Disorder,1,2022,8
01B,Disorder,2,2022,9
01B,Disorder,1,2022,12
01B,Disorder,1,2023,2
01B,Disorder,4,2023,9
01B,Disorder,1,2023,10
01B,Disorder,1,2024,4
01B,Disorder,1,2024,5
01F,Disorder,1,2018,9
01F,Disorder,1,2019,9
01F,Disorder,3,2020,6
01F,Disorder,1,2020,7
01F,Disorder,2,2020,9
01F,Disorder,1,2021,10
01F,Disorder,1,2022,12
01F,Disorder,1,2023,4
01F,Disorder,1,2023,6
01F,Disorder,1,2024,3
01F,Disorder,1,2024,4
01F,Disorder,1,2024,5
01I,Disorder,1,2022,9
01K,Disorder,2,2018,4
01K,Disorder,1,2018,5
01K,Disorder,1,2018,6
01K,Disorder,1,2018,7
01K,Disorder,1,2018,8
01K,Disorder,4,2018,9
01K,Disorder,1,2018,10
01K,Disorder,1,2018,12
01K,Disorder,4,2019,2
01K,Disorder,4,2019,3
01K,Disorder,1,2019,4
01K,Disorder,5,2019,5
01K,Disorder,1,2019,6
01K,Disorder,2,2019,7
01K,Disorder,4,2019,8
01K,Disorder,2,2019,10
01K,Disorder,2,2019,11
01K,Disorder,1,2019,12
01K,Disorder,1,2020,2
01K,Disorder,1,2020,3
01K,Disorder,1,2020,4
01K,Disorder,1,2020,6
01K,Disorder,1,2020,7
01K,Disorder,1,2020,8
01K,Disorder,2,2020,9
01K,Disorder,1,2020,10
01K,Disorder,1,2020,11
01K,Disorder,1,2021,1
01K,Disorder,1,2021,4
01K,Disorder,2,2021,5
01K,Disorder,1,2021,6
01K,Disorder,1,2021,7
01K,Disorder,2,2021,8
01K,Disorder,3,2021,9
01K,Disorder,4,2021,10
01K,Disorder,5,2021,11
01K,Disorder,1,2021,12
01K,Disorder,2,2022,1
01K,Disorder,2,2022,2
01K,Disorder,2,2022,3
01K,Disorder,2,2022,6
01K,Disorder,3,2022,7
01K,Disorder,4,2022,8
01K,Disorder,5,2022,9
01K,Disorder,2,2022,10
01K,Disorder,4,2022,11
01K,Disorder,1,2022,12
01K,Disorder,2,2023,1
01K,Disorder,1,2023,2
01K,Disorder,3,2023,3
01K,Disorder,3,2023,4
01K,Disorder,4,2023,5
01K,Disorder,1,2023,6
01K,Disorder,3,2023,7
01K,Disorder,3,2023,8
01K,Disorder,3,2023,10
01K,Disorder,2,2024,2
01K,Disorder,1,2024,3
01K,Disorder,2,2024,4
02B,Disorder,1,2018,8
02B,Disorder,1,2018,12
02B,Disorder,1,2019,11
02B,Disorder,1,2020,2
02B,Disorder,1,2020,8
02B,Disorder,1,2020,10
02B,Disorder,1,2020,11
02B,Disorder,1,2021,4
02B,Disorder,1,2021,7
02B,Disorder,2,2021,10
02B,Disorder,1,2022,3
02B,Disorder,1,2023,1
02C,Disorder,1,2018,3
02C,Disorder,4,2018,7
02C,Disorder,1,2018,9
02C,Disorder,1,2018,11
02C,Disorder,3,2018,12
02C,Disorder,1,2019,3
02C,Disorder,2,2019,6
02C,Disorder,6,2019,7
02C,Disorder,2,2019,8
02C,Disorder,2,2019,12
02C,Disorder,1,2020,1
02C,Disorder,1,2020,3
02C,Disorder,8,2020,4
02C,Disorder,5,2020,5
02C,Disorder,10,2020,6
02C,Disorder,7,2020,7
02C,Disorder,3,2020,8
02C,Disorder,2,2020,9
02C,Disorder,1,2020,11
02C,Disorder,3,2020,12
02C,Disorder,2,2021,3
02C,Disorder,3,2021,4
02C,Disorder,3,2021,5
02C,Disorder,1,2021,6
02C,Disorder,3,2021,7
02C,Disorder,1,2021,8
02C,Disorder,1,2021,12
02C,Disorder,1,2022,4
02C,Disorder,1,2023,2
02C,Disorder,1,2023,3
02C,Disorder,1,2023,4
02C,Disorder,1,2023,6
02C,Disorder,1,2023,9
02C,Disorder,1,2024,2
02E,Disorder,1,2018,1
02E,Disorder,1,2018,2
02E,Disorder,6,2018,3
02E,Disorder,2,2018,4
02E,Disorder,1,2018,5
02E,Disorder,2,2018,6
02E,Disorder,1,2018,8
02E,Disorder,3,2018,9
02E,Disorder,1,2018,10
02E,Disorder,3,2018,11
02E,Disorder,2,2019,2
02E,Disorder,4,2019,3
02E,Disorder,3,2019,4
02E,Disorder,2,2019,5
02E,Disorder,1,2019,8
02E,Disorder,2,2019,9
02E,Disorder,1,2019,10
02E,Disorder,2,2020,1
02E,Disorder,3,2020,2
02E,Disorder,1,2020,3
02E,Disorder,1,2020,4
02E,Disorder,3,2020,6
02E,Disorder,5,2020,8
02E,Disorder,1,2020,9
02E,Disorder,4,2020,10
02E,Disorder,4,2020,11
02E,Disorder,2,2020,12
02E,Disorder,1,2021,1
02E,Disorder,2,2021,2
02E,Disorder,1,2021,3
02E,Disorder,2,2021,4
02E,Disorder,3,2021,5
02E,Disorder,2,2021,6
02E,Disorder,1,2021,7
02E,Disorder,4,2021,8
02E,Disorder,2,2021,9
02E,Disorder,4,2021,10
02E,Disorder,5,2021,11
02E,Disorder,3,2021,12
02E,Disorder,3,2022,1
02E,Disorder,5,2022,2
02E,Disorder,4,2022,3
02E,Disorder,4,2022,4
02E,Disorder,4,2022,5
02E,Disorder,2,2022,6
02E,Disorder,7,2022,7
02E,Disorder,3,2022,8
02E,Disorder,4,2022,9
02E,Disorder,4,2022,10
02E,Disorder,2,2022,12
02E,Disorder,3,2023,1
02E,Disorder,1,2023,2
02E,Disorder,6,2023,3
02E,Disorder,1,2023,4
02E,Disorder,3,2023,5
02E,Disorder,6,2023,7
02E,Disorder,2,2023,8
02E,Disorder,4,2023,9
02E,Disorder,3,2023,10
02E,Disorder,1,2023,11
02E,Disorder,5,2024,1
02E,Disorder,1,2024,3
02E,Disorder,1,2024,4
02F,Disorder,1,2018,3
02F,Disorder,3,2018,9
02F,Disorder,1,2018,10
02F,Disorder,1,2018,12
02F,Disorder,1,2019,1
02F,Disorder,1,2019,4
02F,Disorder,1,2020,4
02F,Disorder,1,2020,5
02F,Disorder,1,2020,6
02F,Disorder,2,2020,8
02F,Disorder,1,2020,11
02F,Disorder,1,2021,1
02F,Disorder,1,2021,3
02F,Disorder,2,2021,6
02F,Disorder,1,2021,11
02F,Disorder,2,2021,12
02F,Disorder,4,2022,1
02F,Disorder,1,2022,2
02F,Disorder,3,2022,4
02F,Disorder,1,2022,6
02F,Disorder,1,2022,8
02F,Disorder,2,2022,11
02F,Disorder,1,2023,1
02F,Disorder,1,2023,5
02F,Disorder,2,2023,6
02F,Disorder,1,2023,7
02F,Disorder,1,2024,1
02F,Disorder,1,2024,2
02F,Disorder,2,2024,3
02K,Disorder,1,2018,2
02K,Disorder,1,2020,5
02K,Disorder,1,2021,1
02K,Disorder,1,2024,1
02L,Disorder,1,2018,2
02L,Disorder,1,2019,4
02L,Disorder,1,2019,8
02L,Disorder,1,2019,12
02L,Disorder,1,2020,5
02L,Disorder,1,2020,12
02L,Disorder,1,2021,5
02L,Disorder,1,2021,11
02L,Disorder,1,2021,12
02L,Disorder,1,2022,3
02L,Disorder,1,2023,2
02L,Disorder,1,2023,4
02L,Disorder,1,2023,10
02L,Disorder,1,2023,11
02L,Disorder,1,2024,1
03W,Disorder,1,2018,4
03W,Disorder,1,2019,2
03W,Disorder,1,2020,12
03W,Disorder,1,2021,7
03W,Disorder,1,2021,9
03W,Disorder,3,2021,11
03W,Disorder,2,2021,12
03W,Disorder,1,2022,1
03W,Disorder,1,2022,3
03W,Disorder,1,2022,9
03W,Disorder,1,2023,1
03W,Disorder,1,2023,2
03W,Disorder,2,2023,7
03W,Disorder,1,2023,9
03W,Disorder,1,2024,1
05D,Disorder,3,2018,4
05D,Disorder,1,2018,6
05D,Disorder,1,2018,7
05D,Disorder,1,2018,9
05D,Disorder,1,2018,10
05D,Disorder,1,2019,2
05D,Disorder,1,2019,8
05D,Disorder,2,2019,11
05D,Disorder,1,2020,7
05D,Disorder,1,2021,3
05D,Disorder,1,2021,4
05D,Disorder,1,2021,9
05D,Disorder,1,2022,1
05D,Disorder,1,2022,5
05D,Disorder,1,2023,1
05D,Disorder,1,2023,4
05D,Disorder,1,2023,6
05D,Disorder,1,2023,8
05D,Disorder,2,2023,11
05D,Disorder,1,2024,2
05F,Disorder,1,2020,12
05F,Disorder,1,2021,2
05F,Disorder,1,2021,8
05F,Disorder,1,2021,11
05F,Disorder,1,2022,2
05F,Disorder,1,2022,6
05F,Disorder,1,2022,9
05F,Disorder,1,2022,10
05F,Disorder,1,2022,12
05F,Disorder,1,2023,7
05F,Disorder,1,2024,3
05G,Disorder,1,2022,3
05G,Disorder,1,2022,8
05G,Disorder,1,2022,10
05G,Disorder,1,2024,1
06A,Disorder,1,2018,1
06A,Disorder,1,2018,6
06A,Disorder,1,2018,7
06A,Disorder,1,2018,9
06A,Disorder,1,2018,10
06A,Disorder,1,2019,2
06A,Disorder,2,2019,7
06A,Disorder,1,2019,8
06A,Disorder,2,2019,9
06A,Disorder,1,2019,12
06A,Disorder,1,2020,1
06A,Disorder,1,2020,2
06A,Disorder,1,2020,3
06A,Disorder,1,2020,5
06A,Disorder,1,2020,8
06A,Disorder,1,2020,9
06A,Disorder,1,2020,10
06A,Disorder,2,2021,4
06A,Disorder,1,2021,5
06A,Disorder,1,2021,6
06A,Disorder,1,2021,7
06A,Disorder,1,2021,8
06A,Disorder,3,2021,10
06A,Disorder,1,2022,8
06A,Disorder,1,2023,4
06A,Disorder,2,2023,6
06A,Disorder,1,2023,7
06A,Disorder,3,2023,8
06A,Disorder,6,2024,1
06A,Disorder,1,2024,2
06A,Disorder,1,2024,3
06A,Disorder,3,2024,4
06A,Disorder,1,2024,5
06B,Disorder,1,2021,4
06B,Disorder,1,2023,5
06B,Disorder,1,2024,4
06C,Disorder,1,2019,1
09D,Disorder,1,2021,4
09D,Disorder,1,2021,12
09D,Disorder,2,2022,2
09D,Disorder,1,2022,4
09D,Disorder,1,2022,6
09D,Disorder,1,2022,10
09D,Disorder,1,2022,11
09D,Disorder,1,2023,1
09D,Disorder,1,2023,9
09D,Disorder,1,2024,1
09D,Disorder,1,2024,5
09H,Disorder,1,2018,3
09H,Disorder,1,2018,4
09H,Disorder,1,2018,5
09H,Disorder,3,2018,6
09H,Disorder,2,2018,8
09H,Disorder,1,2018,10
09H,Disorder,2,2018,11
09H,Disorder,1,2019,1
09H,Disorder,3,2019,2
09H,Disorder,1,2019,4
09H,Disorder,1,2019,5
09H,Disorder,1,2019,6
09H,Disorder,1,2019,7
09H,Disorder,3,2019,9
09H,Disorder,2,2019,10
09H,Disorder,1,2019,12
09H,Disorder,1,2020,3
09H,Disorder,3,2020,4
09H,Disorder,3,2020,6
09H,Disorder,2,2020,7
09H,Disorder,1,2020,8
09H,Disorder,2,2020,9
09H,Disorder,2,2020,10
09H,Disorder,1,2020,11
09H,Disorder,4,2020,12
09H,Disorder,2,2021,1
09H,Disorder,1,2021,4
09H,Disorder,4,2021,5
09H,Disorder,1,2021,6
09H,Disorder,2,2021,7
09H,Disorder,2,2021,8
09H,Disorder,1,2021,9
09H,Disorder,2,2021,10
09H,Disorder,2,2021,11
09H,Disorder,4,2021,12
09H,Disorder,2,2022,1
09H,Disorder,2,2022,2
09H,Disorder,2,2022,6
09H,Disorder,1,2022,7
09H,Disorder,3,2022,8
09H,Disorder,1,2022,10
09H,Disorder,1,2022,11
09H,Disorder,2,2022,12
09H,Disorder,1,2023,1
09H,Disorder,1,2023,2
09H,Disorder,1,2023,3
09H,Disorder,2,2023,5
09H,Disorder,1,2023,6
09H,Disorder,2,2023,7
09H,Disorder,2,2023,8
09H,Disorder,2,2023,9
09H,Disorder,1,2023,11
09H,Disorder,1,2023,12
09H,Disorder,5,2024,1
09H,Disorder,1,2024,3
09H,Disorder,4,2024,4
09H,Disorder,1,2024,5
09K,Disorder,1,2018,4
09K,Disorder,1,2018,5
09K,Disorder,1,2018,12
09K,Disorder,2,2019,5
09K,Disorder,2,2019,6
09K,Disorder,1,2019,9
09K,Disorder,1,2019,10
09K,Disorder,1,2020,1
09K,Disorder,2,2020,4
09K,Disorder,1,2020,8
09K,Disorder,1,2020,9
09K,Disorder,1,2020,11
09K,Disorder,1,2021,6
09K,Disorder,1,2021,7
09K,Disorder,1,2021,10
09K,Disorder,2,2021,11
09K,Disorder,1,2022,1
09K,Disorder,1,2022,3
09K,Disorder,1,2022,5
09K,Disorder,1,2022,9
09K,Disorder,1,2022,10
09K,Disorder,2,2022,11
09K,Disorder,1,2023,1
09K,Disorder,2,2023,4
09K,Disorder,1,2023,6
09K,Disorder,1,2023,10
09K,Disorder,1,2023,12
09K,Disorder,1,2024,1
09K,Disorder,1,2024,2
09O,Disorder,1,2018,1
09O,Disorder,4,2018,2
09O,Disorder,6,2018,3
09O,Disorder,2,2018,4
09O,Disorder,9,2018,5
09O,Disorder,2,2018,6
09O,Disorder,3,2018,7
09O,Disorder,6,2018,8
09O,Disorder,4,2018,9
09O,Disorder,6,2018,10
09O,Disorder,5,2018,11
09O,Disorder,2,2018,12
09O,Disorder,7,2019,1
09O,Disorder,5,2019,2
09O,Disorder,4,2019,3
09O,Disorder,4,2019,4
09O,Disorder,8,2019,5
09O,Disorder,5,2019,6
09O,Disorder,8,2019,7
09O,Disorder,2,2019,8
09O,Disorder,7,2019,9
09O,Disorder,3,2019,10
09O,Disorder,4,2019,11
09O,Disorder,4,2019,12
09O,Disorder,6,2020,1
09O,Disorder,4,2020,2
09O,Disorder,4,2020,3
09O,Disorder,9,2020,4
09O,Disorder,4,2020,5
09O,Disorder,5,2020,6
09O,Disorder,3,2020,7
09O,Disorder,8,2020,8
